iter	Passed	Remaining
654	4165	2193
655	4169	2186
656	4175	2180
657	4181	2173
658	4186	2166
659	4191	2159
660	4197	2152
661	4204	2146
662	4211	2140
663	4220	2135
664	4226	2129
665	4232	2122
666	4240	2117
667	4246	2110
668	4254	2104
669	4261	2099
670	4266	2092
671	4272	2085
672	4278	2078
673	4284	2072
674	4290	2065
675	4295	2058
676	4302	2052
677	4311	2047
678	4317	2040
679	4322	2034
680	4334	2030
681	4341	2024
682	4349	2018
683	4356	2012
684	4362	2006
685	4369	2000
686	4374	1992
687	4381	1987
688	4387	1980
689	4391	1973
690	4400	1967
691	4406	1961
692	4417	1956
693	4421	1949
694	4432	1945
695	4438	1938
696	4446	1932
697	4453	1926
698	4461	1921
699	4467	1914
700	4473	1908
701	4479	1901
702	4487	1895
703	4495	1890
704	4504	1884
705	4514	1880
706	4525	1875
707	4532	1869
708	4539	1863
709	4546	1856
710	4552	1850
711	4558	1844
712	4563	1836
713	4568	1829
714	4574	1823
715	4578	1816
716	4584	1809
717	4591	1803
718	4597	1796
719	4605	1791
720	4611	1784
721	4619	1778
722	4626	1772
723	4632	1765
724	4639	1759
725	4643	1752
726	4651	1746
727	4656	1739
728	4661	1732
729	4669	1727
730	4675	1720
731	4682	1714
732	4688	1707
733	4695	1701
734	4701	1695
735	4706	1688
736	4712	1681
737	4719	1675
738	4723	1668
739	4730	1661
740	4735	1655
741	4739	1648
742	4747	1642
743	4752	1635
744	4758	1628
745	4764	1622
746	4769	1615
747	4775	1608
748	4781	1602
749	4786	1595
750	4793	1589
751	4799	1582
752	4803	1575
753	4811	1569
754	4816	1563
755	4825	1557
756	4830	1550
757	4835	1543
758	4842	1537
759	4849	1531
760	4857	1525
761	4862	1518
762	4870	1512
763	4877	1506
764	4882	1499
765	4891	1494
766	4897	1487
767	4904	1481
768	4910	1475
769	4915	1468
770	4923	1462
771	4928	1455
772	4935	1449
773	4941	1443
774	4946	1436
775	4954	1430
776	4959	1423
777	4964	1416
778	4971	1410
779	4976	1403
780	4984	1397
781	4989	1391
782	4994	1384
783	5001	1378
784	5006	1371
785	5011	1364
786	5018	1358
787	5025	1352
788	5031	1345
789	5037	1338
790	5045	1333
791	5051	1326
792	5056	1319
793	5063	1313
794	5068	1306
795	5072	1300
796	5080	1294
797	5085	1287
798	5089	1280
799	5097	1274
800	5102	1267
801	5108	1261
802	5115	1254
803	5119	1248
804	5126	1241
805	5132	1235
806	5136	1228
